1;1.18;3;3
2;1.42;3;3
3;1.74;3;3
4;2.14;3;3
5;2.38;3;3
6;2.3;5;5
7;2.14;5;5
8;2.22;5;5
9;2.56;5;5
10;2.06;5;5
11;2.14;5;5
12;2.2;5;5
13;1.94;5;5
14;2.1;5;5
15;2.06;5;5
16;2.1;5;5
17;2.26;5;5
18;2.14;5;5
19;2.14;5;5
20;2.16;5;5
21;1.94;5;5
22;2.08;5;5
23;2.1;5;5
24;2.1;5;5
25;2.0;5;5
26;1.78;5;5
27;2.1;5;5
28;1.96;5;5
29;2.06;5;5
30;2.08;5;5
31;2.02;5;5
32;1.96;5;5
33;2.02;5;5
34;1.9;5;5
35;2.16;5;5
36;1.9;5;5
37;1.98;5;5
38;2.16;5;5
39;2.08;5;5
40;1.92;5;5
41;2.08;5;5
42;2.02;5;5
43;1.92;5;5
44;1.92;5;5
45;2.1;5;5
46;2.02;5;5
47;1.98;5;5
48;2.0;5;5
49;2.1;5;5
50;2.22;5;5
51;2.26;5;5
52;2.06;5;5
53;2.32;5;5
54;2.08;5;5
55;2.06;5;5
56;2.18;5;5
57;2.28;5;5
58;2.12;5;5
59;2.16;5;5
60;2.16;5;5
61;2.14;5;5
62;2.04;5;5
63;2.02;5;5
64;2.16;5;5
65;2.12;5;5
66;2.08;5;5
67;2.16;5;5
68;2.04;5;5
69;2.22;5;5
70;2.2;5;5
71;2.12;5;5
72;2.14;5;5
73;2.18;5;5
74;2.22;5;5
75;2.1;5;5
76;2.24;5;5
77;2.18;5;5
78;2.18;5;5
79;2.18;5;5
80;2.28;5;5
81;2.08;5;5
82;2.08;5;5
83;2.08;5;5
84;2.02;5;5
85;2.18;5;5
86;2.18;5;5
87;2.12;5;5
88;1.98;5;5
89;2.12;5;5
90;2.16;5;5
91;2.12;5;5
92;2.1;5;5
93;1.96;5;5
94;2.0;5;5
95;2.2;5;5
96;2.14;5;5
97;2.04;5;5
98;2.38;5;5
99;2.16;5;5
100;2.08;5;5
101;2.26;5;5
102;1.96;5;5
103;1.9;5;5
104;1.96;5;5
105;2.24;5;5
106;2.2;5;5
107;2.3;5;5
108;1.98;5;5
109;2.2;5;5
110;2.22;5;5
111;2.12;5;5
112;2.06;5;5
113;2.12;5;5
114;2.08;5;5
115;2.3;5;5
116;2.1;5;5
117;2.1;5;5
118;2.06;5;5
119;2.22;5;5
120;2.26;5;5
121;2.04;5;5
122;2.2;5;5
123;2.16;5;5
124;2.28;5;5
125;2.08;5;5
126;2.2;5;5
127;2.0;5;5
128;2.26;5;5
129;1.94;5;5
130;2.12;5;5
131;2.08;5;5
132;2.08;5;5
133;2.14;5;5
134;2.28;5;5
135;2.18;5;5
136;2.22;5;5
137;2.28;5;5
138;2.26;5;5
139;2.12;5;5
140;2.1;5;5
141;2.1;5;5
142;1.94;5;5
143;2.12;5;5
144;2.04;5;5
145;1.96;5;5
146;2.1;5;5
147;1.98;5;5
148;2.22;5;5
149;2.12;5;5
150;2.18;5;5
151;2.2;5;5
152;2.28;5;5
153;2.18;5;5
154;2.22;5;5
155;2.16;5;5
156;2.3;5;5
157;2.06;5;5
158;2.2;5;5
159;2.28;5;5
160;2.12;5;5
161;2.2;5;5
162;2.2;5;5
163;2.28;5;5
164;2.08;5;5
165;2.24;5;5
166;2.04;5;5
167;2.08;5;5
168;2.26;5;5
169;2.1;5;5
170;2.32;5;5
171;2.04;5;5
172;2.08;5;5
173;2.28;5;5
174;2.3;5;5
175;2.14;5;5
176;2.22;5;5
177;2.08;5;5
178;2.1;5;5
179;2.04;5;5
180;2.08;5;5
181;2.26;5;5
182;2.06;5;5
183;1.96;5;5
184;2.14;5;5
185;1.96;5;5
186;2.04;5;5
187;2.12;5;5
188;2.06;5;5
189;2.02;5;5
190;2.1;5;5
191;1.94;5;5
192;2.16;5;5
193;2.18;5;5
194;2.06;5;5
195;2.0;5;5
196;2.1;5;5
197;2.2;5;5
198;2.14;5;5
199;2.04;5;5
200;2.14;5;5
201;2.2;5;5
202;2.1;5;5
203;2.12;5;5
204;2.1;5;5
205;2.26;5;5
206;2.04;5;5
